"номер","община","име","от автогара","до автогара","разстояние","тръгва","пристига","връщане/тръгва","връщане/пристига","Брой междинни спирки","Изпълнява се"
"number","munucipal","name","from_station","to_station","length","departure","arrival","return_departure","return_arrival","intermediate_stops","Information"
"1101","Банско","Благоевград-Банско","Банско","Благоевград","59","7.45","9.18","11","12.33","4",""
"1101","Банско","Разлог-Гостун","Гостун","Разлог","34","6.3","7.24","17.05","17.59","4","понеделник, петък"
"1101","Банско","Разлог-Кремен","Кремен","Кремен","38","6.55","8.05","17.4","18.55","5","без събота и неделя"
"1101","Банско","Разлог-Обидим","Обидим","Разлог","40","6","7.13","17.4","18.53","5","понеделник, петък"
"1101","Банско","Разлог-Осеново","Осеново","Разлог","35","6","6.56","18","18.55","5","понеделник, петък"
"1101","Банско","Разлог-Филипово","Филипово","Разлог","30","6","7.16","11.1","12.56","4","без събота и неделя"
"2101","Белица","Разлог-Бабяк","Бабяк","Разлог","40","7","8.22","12.45","14.07","10","без събота и неделя"
"2102","Белица","Разлог-Бабяк","Бабяк","Разлог","40","14.3","15.52","17.15","18.36","10","без събота и неделя"
"2101","Белица","Разлог-Черешово","Черешово","Разлог","50","6.4","8.21","17.35","19.22","11","понеделник, петък"
"2201","Белица","Разлог-Черешово","Черешово","Разлог","32","6.4","7.55","17.35","18.42","7","вторник, сряда, четвъртък"
"3101","Благоевград","Благоевград-Брежани","Благоевград","Брежани","30","8","8.56","9.05","10.01","9",""
"3102","Благоевград","Благоевград-Брежани","Благоевград","Брежани","30","10","10.56","11.05","12.01","9",""
"3103","Благоевград","Благоевград-Брежани","Благоевград","Брежани","30","15.3","16.26","16.35","17.31","9",""
"3201","Благоевград","Благоевград-Брежани","Брежани","Благоевград","30","6","6.56","17.3","18.26","9","без събота и неделя"
"3202","Благоевград","Благоевград-Брежани","Благоевград","Брежани","30","13.5","14.46","14.5","15.46","9","без събота и неделя"
"3301","Благоевград","Благоевград-Брежани","Благоевград","Брежани","30","13.3","14.26","14.35","15.31","9","без събота и неделя"
"3401","Благоевград","Благоевград-Брежани","Брежани","Благоевград","30","6.3","7.26","","","9","без събота и неделя"
"3102","Благоевград","Благоевград-Габрене","Габрене","Благоевград","119","5.3","8","16.3","19","9","през седмица"
"3101","Благоевград","Благоевград-Гоце Делчев","Благоевград","Гоце Делчев","110","7","9.34","10.3","13.04","8",""
"3102","Благоевград","Благоевград-Гоце Делчев","Благоевград","Гоце Делчев","110","8.15","11.34","13","15.34","8",""
"3103","Благоевград","Благоевград-Гоце Делчев","Благоевград","Гоце Делчев","110","12.55","15.29","16.3","19.04","8",""
"3104","Благоевград","Благоевград-Гоце Делчев","Благоевград","Гоце Делчев","110","14.4","17.14","17.3","20.04","8",""
"3105","Благоевград","Благоевград-Гоце Делчев","Благоевград","Гоце Делчев","110","16.05","18.3","18.3","21.04","8",""
"3201","Благоевград","Благоевград-Гоце Делчев","Благоевград","Гоце Делчев","110","12.1","14.2","15.2","17.3","3",""
"3301","Благоевград","Благоевград-Гоце Делчев","Благоевград","Гоце Делчев","110","10.15","12.25","14","16.1","2",""
"3101","Благоевград","Благоевград-Добри Лаки","Благоевград","Добри Лаки","97","17.3","20.11","17","19.41","15","от Благоевград в петък;
от Добри Лаки - в неделя"
"3201","Благоевград","Благоевград-Добри Лаки","Добри Лаки","Благоевград","70","16.3","18","19","21.3","4","от Благоевград в петък;
от Добри Лаки - в неделя"
"3101","Благоевград","Благоевград-Долно Осеново","Благоевград","Долно Осеново","34","6.4","7.34","7.4","8.34","7",""
"3102","Благоевград","Благоевград-Долно Осеново","Благоевград","Долно Осеново","34","11.4","12.34","12.4","13.34","7",""
"3103","Благоевград","Благоевград-Долно Осеново","Благоевград","Долно Осеново","34","16.4","7.34","17.4","18.34","7",""
"3101","Благоевград","Благоевград-Крупник","Благоевград","Крупник","24","8","8.48","9","9.48","7","без събота и неделя"
"3102","Благоевград","Благоевград-Крупник","Благоевград","Крупник","24","9","9.48","10","10.48","7","без събота и неделя"
"3103","Благоевград","Благоевград-Крупник","Благоевград","Крупник","24","14","14.48","15","15.48","7","без събота и неделя"
"3104","Благоевград","Благоевград-Крупник","Благоевград","Крупник","24","15","15.48","16","16.48","7","без събота и неделя"
"3105","Благоевград","Благоевград-Крупник","Благоевград","Крупник","24","18","18.48","19","19.48","7","без събота и неделя"
"3106","Благоевград","Благоевград-Крупник","Крупник","Благоевград","24","6.5","7.38","19.3","20.18","7","без събота и неделя"
"3101","Благоевград","Благоевград-Ощава","Благоевград","Ощава","47","18.3","19.45","19","20.15","2","в петък от Благоевград 
в неделя от Ощава"
"3101","Благоевград","Благоевград-Петрич","Благоевград","Петрич","90","7.3","9.39","13","15.02","10",""
"3102","Благоевград","Благоевград-Петрич","Благоевград","Петрич","90","14","16.02","17.3","19.32","10",""
"3201","Благоевград","Благоевград-Петрич","Благоевград","Петрич","91","10.1","11.5","12.4","14.2","3",""
"3202","Благоевград","Благоевград-Петрич","Благоевград","Петрич","91","13","14.3","15","16.3","4",""
"3203","Благоевград","Благоевград-Петрич","Благоевград","Петрич","91","8.15","9.5","11","12.35","3",""
"3101","Благоевград","Благоевград-Плоски","Благоевград","Плоски","59","17","18.3","17","18.3","5","в петък от Благоевград 
в неделя от Плоски"
"3101","Благоевград","Благоевград-Полена","Благоевград","Полена","26","7.15","8.09","8.35","9.39","9",""
"3102","Благоевград","Благоевград-Полена","Благоевград","Полена","26","11.3","12.24","12.3","13.26","9",""
"3103","Благоевград","Благоевград-Полена","Благоевград","Полена","26","13.3","14.24","14.35","15.29","9",""
"3104","Благоевград","Благоевград-Полена","Благоевград","Полена","26","16.3","17.24","17.35","18.29","9",""
"3201","Благоевград","Благоевград-Полена","Благоевград","Полена","26","7","7.55","8","8.55","9","без събота и неделя"
"3202","Благоевград","Благоевград-Полена","Благоевград","Полена","26","11","11.55","12","12.55","9","без събота и неделя"
"3203","Благоевград","Благоевград-Полена","Благоевград","Полена","26","13","13.55","14","14.55","9","без събота и неделя"
"3204","Благоевград","Благоевград-Полена","Полена","Благоевград","26","6.5","7.45","17","17.55","9","без събота и неделя"
"3301","Благоевград","Благоевград-Полена","Благоевград","Полена","26","8","8.55","9","9.55","9","без събота и неделя"
"3302","Благоевград","Благоевград-Полена","Благоевград","Полена","26","11","11.55","12","12.55","9","без събота и неделя"
"3303","Благоевград","Благоевград-Полена","Благоевград","Полена","26","13","13.55","14","14.55","9","без събота и неделя"
"3304","Благоевград","Благоевград-Полена","Благоевград","Полена","26","15","15.55","16","16.55","9","без събота и неделя"
"3305","Благоевград","Благоевград-Полена","Благоевград","Полена","26","17","17.55","18","18.55","9","без събота и неделя"
"3306","Благоевград","Благоевград-Полена","Благоевград","Полена","26","19","19.55","20","20.55","9","без събота и неделя"
"3101","Благоевград","Благоевград-Първомай","Благоевград","Първомай","98","12.2","14.1","15.3","17.3","5",""
"3101","Благоевград","Благоевград-Якоруда","Якоруда","Благоевград","90","7","8.5","13.3","15.2","4",""
"4102","Гоце Делчев","Благоевград-Гоце Делчев","Гоце Делчев","Благоевград","110","7.15","9.56","11.4","14.2","6",""
"4103","Гоце Делчев","Благоевград-Гоце Делчев","Гоце Делчев","Благоевград","110","9.3","12","15.2","17.48","4",""
"4101","Гоце Делчев","Гоце Делчев-Балдево","Гоце Делчев","Балдево","17","6.1","6.45","6.5","7.25","2",""
